"","treatment","jar_id","day","jar_count","replicate"
"1","14C",6,1,700,1
"2","14C",6,1,832,2
"3","14C",6,1,947,3
"4","14C",6,1,993,4
"5","14C",6,1,714,5
"6","14C",6,1,908,6
"7","14C",6,1,814,7
"8","14C",6,1,1200,8
"9","14C",6,1,1164,9
"10","14C",6,1,698,10
"11","14C",6,1,892,11
"12","14C",6,1,672,12
"13","14C",6,1,961,13
"14","14C",6,1,762,14
"15","14C",6,1,838,15
"16","14C",6,1,959,16
"17","14C",6,1,814,17
"18","14C",6,1,884,18
"19","14C",6,1,688,19
"20","14C",6,1,799,20
"21","14C",6,1,808,21
"22","14C",6,1,712,22
"23","14C",6,1,1028,23
"24","14C",6,1,881,24
"25","14C",6,1,696,25
"26","14C",6,1,1112,26
"27","14C",6,1,776,27
"28","14C",6,1,761,28
"29","14C",6,1,1080,29
"30","14C",6,1,818,30
"31","14C",6,1,764,31
"32","14C",6,1,795,32
"33","14C",6,1,964,33
"34","14C",6,1,699,34
"35","14C",6,1,1016,35
"36","14C",6,1,752,36
"37","14C",6,1,743,37
"38","14C",6,1,726,38
"39","14C",6,1,821,39
"40","14C",6,1,809,40
"41","14C",6,1,834,41
"42","14C",6,1,772,42
"43","14C",6,1,786,43
"44","14C",6,1,876,44
"45","14C",6,1,755,45
"46","14C",6,1,732,46
"47","14C",6,1,787,47
"48","14C",6,1,904,48
"49","14C",6,1,834,49
"50","14C",6,1,806,50
"51","14C",6,1,883,51
"52","14C",6,1,739,52
"53","14C",6,1,776,53
"54","14C",6,1,896,54
"55","14C",6,1,975,55
"56","14C",6,1,768,56
"57","14C",6,1,1020,57
"58","14C",6,1,635,58
"59","14C",6,1,940,59
"60","14C",6,1,1022,60
"61","14C",6,1,865,61
"62","14C",6,1,824,62
"63","14C",6,1,819,63
"64","14C",6,1,887,64
"65","14C",6,1,781,65
"66","14C",6,1,738,66
"67","14C",6,1,867,67
"68","14C",6,1,846,68
"69","14C",6,1,848,69
"70","14C",6,1,981,70
"71","14C",6,1,790,71
"72","14C",6,1,882,72
"73","14C",6,1,869,73
"74","14C",6,1,733,74
"75","14C",6,1,966,75
"76","14C",6,1,900,76
"77","14C",6,1,864,77
"78","14C",6,1,823,78
"79","14C",6,1,838,79
"80","14C",6,1,648,80
"81","14C",6,1,1188,81
"82","14C",6,1,739,82
"83","14C",6,1,760,83
"84","14C",6,1,748,84
"85","14C",6,1,748,85
"86","14C",6,1,1195,86
"87","14C",6,1,782,87
"88","14C",6,1,1054,88
"89","14C",6,1,638,89
"90","14C",6,1,794,90
"91","14C",6,1,858,91
"92","14C",6,1,774,92
"93","14C",6,1,829,93
"94","14C",6,1,894,94
"95","14C",6,1,781,95
"96","14C",6,1,785,96
"97","14C",6,1,866,97
"98","14C",6,1,784,98
"99","14C",6,1,912,99
"100","14C",6,1,761,100
"101","14C",5,1,676,1
"102","14C",5,1,926,2
"103","14C",5,1,785,3
"104","14C",5,1,655,4
"105","14C",5,1,864,5
"106","14C",5,1,663,6
"107","14C",5,1,846,7
"108","14C",5,1,630,8
"109","14C",5,1,781,9
"110","14C",5,1,771,10
"111","14C",5,1,797,11
"112","14C",5,1,721,12
"113","14C",5,1,858,13
"114","14C",5,1,817,14
"115","14C",5,1,742,15
"116","14C",5,1,799,16
"117","14C",5,1,668,17
"118","14C",5,1,713,18
"119","14C",5,1,946,19
"120","14C",5,1,826,20
"121","14C",5,1,729,21
"122","14C",5,1,753,22
"123","14C",5,1,748,23
"124","14C",5,1,901,24
"125","14C",5,1,699,25
"126","14C",5,1,903,26
"127","14C",5,1,755,27
"128","14C",5,1,867,28
"129","14C",5,1,706,29
"130","14C",5,1,646,30
"131","14C",5,1,794,31
"132","14C",5,1,920,32
"133","14C",5,1,670,33
"134","14C",5,1,853,34
"135","14C",5,1,1033,35
"136","14C",5,1,929,36
"137","14C",5,1,754,37
"138","14C",5,1,902,38
"139","14C",5,1,887,39
"140","14C",5,1,675,40
"141","14C",5,1,695,41
"142","14C",5,1,712,42
"143","14C",5,1,812,43
"144","14C",5,1,897,44
"145","14C",5,1,865,45
"146","14C",5,1,857,46
"147","14C",5,1,691,47
"148","14C",5,1,715,48
"149","14C",5,1,878,49
"150","14C",5,1,812,50
"151","14C",5,1,790,51
"152","14C",5,1,586,52
"153","14C",5,1,565,53
"154","14C",5,1,895,54
"155","14C",5,1,864,55
