"","treatment","jar_id","day","jar_count","replicate","count"
"1","14C",1,1,750,1,48
"2","20C",1,1,667,1,43
"3","20C",1,3,555,1,37
"4","14C",1,3,651,1,40
"5","20C",1,5,418,1,28
"6","14C",1,5,556,1,36
"7","20C",1,7,437,1,35
"8","14C",1,7,226,1,17
"9","20C",1,10,819,1,48
"10","14C",1,10,459,1,22
"11","20C",1,12,530,1,24
"12","14C",1,12,273,1,21
"13","20C",1,14,444,1,23
"14","14C",1,14,559,1,28
"15","14C",1,1,798,2,48
"16","20C",1,1,829,2,43
"17","20C",1,3,638,2,37
"18","14C",1,3,490,2,40
"19","20C",1,5,497,2,28
"20","14C",1,5,487,2,36
"21","20C",1,7,462,2,35
"22","14C",1,7,209,2,17
"23","20C",1,10,793,2,48
"24","14C",1,10,418,2,22
"25","20C",1,12,509,2,24
"26","14C",1,12,251,2,21
"27","20C",1,14,634,2,23
"28","14C",1,14,492,2,28
"29","14C",1,1,996,3,48
"30","20C",1,1,558,3,43
"31","20C",1,3,562,3,37
"32","14C",1,3,796,3,40
"33","20C",1,5,494,3,28
"34","14C",1,5,608,3,36
"35","20C",1,7,586,3,35
"36","14C",1,7,233,3,17
"37","20C",1,10,737,3,48
"38","14C",1,10,558,3,22
"39","20C",1,12,320,3,24
"40","14C",1,12,282,3,21
"41","20C",1,14,564,3,23
"42","14C",1,14,459,3,28
"43","14C",1,1,794,4,48
"44","20C",1,1,664,4,43
"45","20C",1,3,661,4,37
"46","14C",1,3,730,4,40
"47","20C",1,5,704,4,28
"48","14C",1,5,623,4,36
"49","20C",1,7,690,4,35
"50","14C",1,7,303,4,17
"51","20C",1,10,899,4,48
"52","14C",1,10,398,4,22
"53","20C",1,12,328,4,24
"54","14C",1,12,286,4,21
"55","20C",1,14,324,4,23
"56","14C",1,14,508,4,28
"57","14C",1,1,827,5,48
"58","20C",1,1,630,5,43
"59","20C",1,3,692,5,37
"60","14C",1,3,633,5,40
"61","20C",1,5,449,5,28
"62","14C",1,5,528,5,36
"63","20C",1,7,578,5,35
"64","14C",1,7,383,5,17
"65","20C",1,10,914,5,48
"66","14C",1,10,286,5,22
"67","20C",1,12,521,5,24
"68","14C",1,12,315,5,21
"69","20C",1,14,497,5,23
"70","14C",1,14,478,5,28
"71","14C",1,1,884,6,48
"72","20C",1,1,458,6,43
"73","20C",1,3,530,6,37
"74","14C",1,3,660,6,40
"75","20C",1,5,654,6,28
"76","14C",1,5,749,6,36
"77","20C",1,7,620,6,35
"78","14C",1,7,422,6,17
"79","20C",1,10,686,6,48
"80","14C",1,10,381,6,22
"81","20C",1,12,403,6,24
"82","14C",1,12,437,6,21
"83","20C",1,14,313,6,23
"84","14C",1,14,440,6,28
"85","14C",1,1,1010,7,48
"86","20C",1,1,701,7,43
"87","20C",1,3,617,7,37
"88","14C",1,3,768,7,40
"89","20C",1,5,463,7,28
"90","14C",1,5,774,7,36
"91","20C",1,7,673,7,35
"92","14C",1,7,260,7,17
"93","20C",1,10,679,7,48
"94","14C",1,10,429,7,22
"95","20C",1,12,347,7,24
"96","14C",1,12,246,7,21
"97","20C",1,14,463,7,23
"98","14C",1,14,373,7,28
"99","14C",1,1,856,8,48
"100","20C",1,1,710,8,43
"101","20C",1,3,523,8,37
"102","14C",1,3,511,8,40
"103","20C",1,5,467,8,28
"104","14C",1,5,741,8,36
"105","20C",1,7,703,8,35
"106","14C",1,7,429,8,17
"107","20C",1,10,661,8,48
"108","14C",1,10,333,8,22
"109","20C",1,12,443,8,24
"110","14C",1,12,401,8,21
"111","20C",1,14,311,8,23
"112","14C",1,14,467,8,28
"113","14C",1,1,734,9,48
"114","20C",1,1,644,9,43
"115","20C",1,3,526,9,37
"116","14C",1,3,529,9,40
"117","20C",1,5,436,9,28
"118","14C",1,5,486,9,36
"119","20C",1,7,550,9,35
"120","14C",1,7,360,9,17
"121","20C",1,10,864,9,48
"122","14C",1,10,215,9,22
"123","20C",1,12,576,9,24
"124","14C",1,12,367,9,21
"125","20C",1,14,521,9,23
"126","14C",1,14,353,9,28
"127","14C",1,1,1003,10,48
"128","20C",1,1,676,10,43
"129","20C",1,3,577,10,37
"130","14C",1,3,636,10,40
"131","20C",1,5,516,10,28
"132","14C",1,5,472,10,36
"133","20C",1,7,723,10,35
"134","14C",1,7,320,10,17
"135","20C",1,10,590,10,48
"136","14C",1,10,393,10,22
"137","20C",1,12,384,10,24
"138","14C",1,12,440,10,21
"139","20C",1,14,390,10,23
"140","14C",1,14,504,10,28
"141","14C",1,1,762,11,48
"142","20C",1,1,787,11,43
"143","20C",1,3,525,11,37
"144","14C",1,3,720,11,40
"145","20C",1,5,407,11,28
"146","14C",1,5,617,11,36
"147","20C",1,7,562,11,35
"148","14C",1,7,311,11,17
"149","20C",1,10,812,11,48
"150","14C",1,10,425,11,22
"151","20C",1,12,385,11,24
"152","14C",1,12,526,11,21
