"","day","raw_count","sim_count","jar_id","rep_id","treatment","site"
"1",1,43,906,31,1,"20C","20C"
"2",3,37,713,31,1,"20C","20C"
"3",5,31,699,31,1,"20C","20C"
"4",7,35,601,31,1,"20C","20C"
"5",10,46,596,31,1,"20C","20C"
"6",12,21,444,31,1,"20C","20C"
"7",14,21,291,31,1,"20C","20C"
"8",1,43,734,31,2,"20C","20C"
"9",3,37,609,31,2,"20C","20C"
"10",5,31,602,31,2,"20C","20C"
"11",7,35,531,31,2,"20C","20C"
"12",10,46,523,31,2,"20C","20C"
"13",12,21,361,31,2,"20C","20C"
"14",14,21,315,31,2,"20C","20C"
"15",1,43,760,31,3,"20C","20C"
"16",3,37,683,31,3,"20C","20C"
"17",5,31,634,31,3,"20C","20C"
"18",7,35,575,31,3,"20C","20C"
"19",10,46,575,31,3,"20C","20C"
"20",12,21,406,31,3,"20C","20C"
"21",14,21,378,31,3,"20C","20C"
"22",1,43,747,31,4,"20C","20C"
"23",3,37,733,31,4,"20C","20C"
"24",5,31,662,31,4,"20C","20C"
"25",7,35,658,31,4,"20C","20C"
"26",10,46,622,31,4,"20C","20C"
"27",12,21,335,31,4,"20C","20C"
"28",14,21,284,31,4,"20C","20C"
"29",1,43,702,31,5,"20C","20C"
"30",3,37,667,31,5,"20C","20C"
"31",5,31,662,31,5,"20C","20C"
"32",7,35,642,31,5,"20C","20C"
"33",10,46,578,31,5,"20C","20C"
"34",12,21,363,31,5,"20C","20C"
"35",14,21,263,31,5,"20C","20C"
"36",1,50,1058,33,1,"20C","20C"
"37",3,71,934,33,1,"20C","20C"
"38",5,43,763,33,1,"20C","20C"
"39",7,37,630,33,1,"20C","20C"
"40",10,40,623,33,1,"20C","20C"
"41",12,39,614,33,1,"20C","20C"
"42",14,20,343,33,1,"20C","20C"
"43",1,50,980,33,2,"20C","20C"
"44",3,71,960,33,2,"20C","20C"
"45",5,43,807,33,2,"20C","20C"
"46",7,37,731,33,2,"20C","20C"
"47",10,40,663,33,2,"20C","20C"
"48",12,39,547,33,2,"20C","20C"
"49",14,20,421,33,2,"20C","20C"
"50",1,50,1231,33,3,"20C","20C"
"51",3,71,1040,33,3,"20C","20C"
"52",5,43,786,33,3,"20C","20C"
"53",7,37,685,33,3,"20C","20C"
"54",10,40,617,33,3,"20C","20C"
"55",12,39,609,33,3,"20C","20C"
"56",14,20,462,33,3,"20C","20C"
"57",1,50,1146,33,4,"20C","20C"
"58",3,71,1073,33,4,"20C","20C"
"59",5,43,689,33,4,"20C","20C"
"60",7,37,638,33,4,"20C","20C"
"61",10,40,594,33,4,"20C","20C"
"62",12,39,511,33,4,"20C","20C"
"63",14,20,188,33,4,"20C","20C"
"64",1,50,970,33,5,"20C","20C"
"65",3,71,954,33,5,"20C","20C"
"66",5,43,806,33,5,"20C","20C"
"67",7,37,721,33,5,"20C","20C"
"68",10,40,701,33,5,"20C","20C"
"69",12,39,588,33,5,"20C","20C"
"70",14,20,430,33,5,"20C","20C"
"71",1,51,995,34,1,"20C","20C"
"72",3,43,741,34,1,"20C","20C"
"73",5,35,570,34,1,"20C","20C"
"74",7,22,460,34,1,"20C","20C"
"75",10,30,447,34,1,"20C","20C"
"76",12,13,302,34,1,"20C","20C"
"77",14,23,278,34,1,"20C","20C"
"78",1,51,972,34,2,"20C","20C"
"79",3,43,723,34,2,"20C","20C"
"80",5,35,572,34,2,"20C","20C"
"81",7,22,428,34,2,"20C","20C"
"82",10,30,417,34,2,"20C","20C"
"83",12,13,284,34,2,"20C","20C"
"84",14,23,243,34,2,"20C","20C"
"85",1,51,759,34,3,"20C","20C"
"86",3,43,721,34,3,"20C","20C"
"87",5,35,590,34,3,"20C","20C"
"88",7,22,484,34,3,"20C","20C"
"89",10,30,484,34,3,"20C","20C"
"90",12,13,348,34,3,"20C","20C"
"91",14,23,225,34,3,"20C","20C"
"92",1,51,988,34,4,"20C","20C"
"93",3,43,627,34,4,"20C","20C"
"94",5,35,536,34,4,"20C","20C"
"95",7,22,456,34,4,"20C","20C"
"96",10,30,407,34,4,"20C","20C"
"97",12,13,266,34,4,"20C","20C"
"98",14,23,262,34,4,"20C","20C"
"99",1,51,919,34,5,"20C","20C"
"100",3,43,612,34,5,"20C","20C"
"101",5,35,589,34,5,"20C","20C"
"102",7,22,461,34,5,"20C","20C"
"103",10,30,388,34,5,"20C","20C"
"104",12,13,332,34,5,"20C","20C"
"105",14,23,298,34,5,"20C","20C"
"106",1,47,868,35,1,"20C","20C"
"107",3,41,708,35,1,"20C","20C"
"108",5,33,659,35,1,"20C","20C"
"109",7,35,553,35,1,"20C","20C"
"110",10,26,488,35,1,"20C","20C"
"111",12,38,486,35,1,"20C","20C"
"112",14,30,434,35,1,"20C","20C"
"113",1,47,1002,35,2,"20C","20C"
"114",3,41,698,35,2,"20C","20C"
"115",5,33,590,35,2,"20C","20C"
"116",7,35,540,35,2,"20C","20C"
"117",10,26,532,35,2,"20C","20C"
"118",12,38,507,35,2,"20C","20C"
"119",14,30,463,35,2,"20C","20C"
"120",1,47,899,35,3,"20C","20C"
"121",3,41,809,35,3,"20C","20C"
"122",5,33,621,35,3,"20C","20C"
"123",7,35,595,35,3,"20C","20C"
"124",10,26,590,35,3,"20C","20C"
"125",12,38,560,35,3,"20C","20C"
"126",14,30,459,35,3,"20C","20C"
"127",1,47,834,35,4,"20C","20C"
"128",3,41,707,35,4,"20C","20C"
"129",5,33,626,35,4,"20C","20C"
"130",7,35,503,35,4,"20C","20C"
"131",10,26,496,35,4,"20C","20C"
"132",12,38,496,35,4,"20C","20C"
"133",14,30,468,35,4,"20C","20C"
"134",1,47,821,35,5,"20C","20C"
"135",3,41,662,35,5,"20C","20C"
"136",5,33,589,35,5,"20C","20C"
"137",7,35,585,35,5,"20C","20C"
"138",10,26,548,35,5,"20C","20C"
"139",12,38,539,35,5,"20C","20C"
"140",14,30,410,35,5,"20C","20C"
"141",1,24,575,45,1,"20C","20C"
"142",4,35,540,45,1,"20C","20C"
"143",7,30,503,45,1,"20C","20C"
"144",10,17,392,45,1,"20C","20C"
"145",12,25,324,45,1,"20C","20C"
"146",14,18,320,45,1,"20C","20C"
"147",1,24,642,45,2,"20C","20C"
"148",4,35,591,45,2,"20C","20C"
"149",7,30,528,45,2,"20C","20C"
"150",10,17,426,45,2,"20C","20C"
"151",12,25,375,45,2,"20C","20C"
"152",14,18,356,45,2,"20C","20C"
"153",1,24,654,45,3,"20C","20C"
"154",4,35,590,45,3,"20C","20C"
"155",7,30,548,45,3,"20C","20C"
"156",10,17,406,45,3,"20C","20C"
"157",12,25,381,45,3,"20C","20C"
"158",14,18,273,45,3,"20C","20C"
"159",1,24,713,45,4,"20C","20C"
"160",4,35,554,45,4,"20C","20C"
"161",7,30,471,45,4,"20C","20C"
"162",10,17,350,45,4,"20C","20C"
"163",12,25,329,45,4,"20C","20C"
"164",14,18,288,45,4,"20C","20C"
"165",1,24,602,45,5,"20C","20C"
"166",4,35,574,45,5,"20C","20C"
"167",7,30,475,45,5,"20C","20C"
"168",10,17,409,45,5,"20C","20C"
"169",12,25,384,45,5,"20C","20C"
"170",14,18,307,45,5,"20C","20C"
"171",1,46,746,48,1,"20C","20C"
"172",4,31,658,48,1,"20C","20C"
"173",7,16,394,48,1,"20C","20C"
"174",10,27,394,48,1,"20C","20C"
"175",12,10,249,48,1,"20C","20C"
"176",14,22,213,48,1,"20C","20C"
"177",1,46,759,48,2,"20C","20C"
"178",4,31,455,48,2,"20C","20C"
"179",7,16,419,48,2,"20C","20C"
"180",10,27,388,48,2,"20C","20C"
"181",12,10,341,48,2,"20C","20C"
"182",14,22,322,48,2,"20C","20C"
"183",1,46,889,48,3,"20C","20C"
"184",4,31,700,48,3,"20C","20C"
"185",7,16,458,48,3,"20C","20C"
"186",10,27,449,48,3,"20C","20C"
"187",12,10,235,48,3,"20C","20C"
"188",14,22,217,48,3,"20C","20C"
"189",1,46,871,48,4,"20C","20C"
"190",4,31,569,48,4,"20C","20C"
"191",7,16,348,48,4,"20C","20C"
"192",10,27,330,48,4,"20C","20C"
"193",12,10,219,48,4,"20C","20C"
"194",14,22,213,48,4,"20C","20C"
"195",1,46,772,48,5,"20C","20C"
"196",4,31,558,48,5,"20C","20C"
