"","alive","Number"
"1",1,1
"2",1,1
"3",1,1
"4",1,1
"5",1,1
"6",1,1
"7",1,1
"8",1,1
"9",1,1
"10",1,1
"11",1,1
"12",1,1
"13",1,1
"14",1,1
"15",1,1
"16",1,1
"17",1,1
"18",1,1
"19",1,1
"20",1,1
"21",1,1
"22",1,1
"23",1,1
"24",1,1
"25",1,1
"26",1,1
"27",1,1
"28",1,1
"29",1,1
"30",1,1
"31",1,1
"32",1,1
"33",1,1
"34",1,1
"35",1,1
"36",1,1
"37",1,1
"38",1,1
"39",1,2
"40",1,2
"41",1,2
"42",1,2
"43",1,2
"44",1,2
"45",1,2
"46",1,2
"47",1,2
"48",1,2
"49",1,2
"50",1,2
"51",1,2
"52",1,2
"53",1,2
"54",1,2
"55",1,3
"56",1,3
"57",1,3
"58",1,4
"59",1,4
"60",1,4
"61",1,4
"62",1,4
"63",1,4
"64",1,4
"65",1,4
"66",1,4
"67",1,4
"68",1,4
"69",1,4
"70",1,4
"71",1,4
"72",1,4
"73",1,4
"74",1,4
"75",1,4
"76",1,4
"77",1,4
"78",1,4
"79",1,4
"80",1,4
"81",1,4
"82",1,4
"83",1,4
"84",1,4
"85",1,5
"86",1,5
"87",1,5
"88",1,5
"89",1,5
"90",1,5
"91",1,5
"92",1,5
"93",1,5
"94",1,5
"95",1,5
"96",1,5
"97",1,5
"98",1,5
"99",1,5
"100",1,5
"101",1,6
"102",1,6
"103",1,6
"104",1,6
"105",1,6
"106",1,6
"107",1,6
"108",1,6
"109",1,6
"110",1,6
"111",1,6
"112",1,6
"113",1,6
"114",1,6
"115",1,6
"116",1,6
"117",1,7
"118",1,7
"119",1,7
"120",1,7
"121",1,7
"122",1,7
"123",1,8
"124",1,8
"125",1,8
"126",1,8
"127",1,8
"128",1,8
"129",1,8
"130",1,8
"131",1,8
"132",1,8
"133",1,8
"134",1,8
"135",1,8
"136",1,8
"137",1,8
"138",1,8
"139",1,8
"140",1,8
"141",1,8
"142",1,8
"143",1,8
"144",1,8
"145",1,8
"146",1,9
"147",1,9
"148",1,9
"149",1,9
"150",1,9
"151",1,9
"152",1,9
"153",1,9
"154",1,9
"155",1,9
"156",1,9
"157",1,9
"158",1,9
"159",1,9
"160",1,10
"161",1,10
"162",1,10
"163",1,10
"164",1,10
"165",1,10
"166",1,10
"167",1,10
"168",1,10
"169",1,10
"170",1,10
"171",1,10
"172",1,10
"173",1,10
"174",1,10
"175",1,11
"176",1,11
"177",1,11
"178",1,11
"179",1,11
"180",1,11
"181",1,11
"182",1,11
"183",1,12
"184",1,12
"185",1,12
"186",1,13
"187",1,13
"188",1,13
"189",1,13
"190",1,13
"191",1,13
"192",1,13
"193",1,13
"194",1,13
"195",1,13
"196",1,13
"197",1,13
"198",1,13
"199",1,13
"200",1,13
"201",1,13
"202",1,13
"203",1,13
"204",1,13
"205",1,13
"206",1,13
"207",1,13
"208",1,13
"209",1,14
"210",1,14
"211",1,14
"212",1,14
"213",1,14
"214",1,14
"215",1,14
"216",1,14
"217",1,14
"218",1,14
"219",1,14
"220",1,14
"221",1,14
"222",1,14
"223",1,14
"224",1,14
"225",1,14
"226",1,14
"227",1,14
"228",1,14
"229",1,14
"230",1,14
"231",1,14
"232",1,14
"233",1,14
"234",1,15
"235",1,15
"236",1,15
"237",1,15
"238",1,15
"239",1,15
"240",1,15
"241",1,15
"242",1,15
"243",1,15
"244",1,15
"245",1,15
"246",1,15
"247",1,15
"248",1,15
"249",1,15
"250",1,15
"251",1,15
"252",1,15
"253",1,15
"254",1,15
"255",1,15
"256",1,15
"257",1,15
"258",1,15
"259",1,15
"260",1,15
"261",1,15
"262",1,15
"263",1,15
"264",1,15
"265",1,15
"266",1,15
"267",1,16
"268",1,16
"269",1,16
"270",1,16
"271",1,16
"272",1,16
"273",1,16
"274",1,17
"275",1,17
"276",1,17
"277",1,17
"278",1,17
"279",1,17
"280",1,17
"281",1,17
"282",1,17
"283",1,17
"284",1,17
"285",1,17
"286",1,17
"287",1,17
"288",1,17
"289",1,17
"290",1,17
"291",1,17
"292",1,17
"293",1,17
