"","treatment","jar_id","day","site","jar_count","replicate","count","is_decreasing","is_all_decreasing"
"1","14C",1,1,"CI20",799,4,38,TRUE,TRUE
"2","20C",1,1,"CI20",549,4,38,TRUE,TRUE
"3","14C",1,4,"CI20",304,4,16,TRUE,TRUE
"4","14C",1,7,"CI20",240,4,8,TRUE,TRUE
"5","14C",1,10,"CI20",144,4,7,TRUE,TRUE
"6","14C",1,14,"CI20",53,4,5,TRUE,TRUE
"7","14C",1,1,"CI20",663,9,38,TRUE,TRUE
"8","20C",1,1,"CI20",540,9,38,TRUE,TRUE
"9","14C",1,4,"CI20",299,9,16,TRUE,TRUE
"10","14C",1,7,"CI20",169,9,8,TRUE,TRUE
"11","14C",1,10,"CI20",95,9,7,TRUE,TRUE
"12","14C",1,14,"CI20",72,9,5,TRUE,TRUE
"13","14C",1,1,"CI20",599,27,38,TRUE,TRUE
"14","20C",1,1,"CI20",531,27,38,TRUE,TRUE
"15","14C",1,4,"CI20",360,27,16,TRUE,TRUE
"16","14C",1,7,"CI20",174,27,8,TRUE,TRUE
"17","14C",1,10,"CI20",127,27,7,TRUE,TRUE
"18","14C",1,14,"CI20",106,27,5,TRUE,TRUE
"19","14C",1,1,"CI20",567,28,38,TRUE,TRUE
"20","20C",1,1,"CI20",475,28,38,TRUE,TRUE
"21","14C",1,4,"CI20",239,28,16,TRUE,TRUE
"22","14C",1,7,"CI20",89,28,8,TRUE,TRUE
"23","14C",1,10,"CI20",85,28,7,TRUE,TRUE
"24","14C",1,14,"CI20",71,28,5,TRUE,TRUE
"25","14C",1,1,"CI20",820,41,38,TRUE,TRUE
"26","20C",1,1,"CI20",702,41,38,TRUE,TRUE
"27","14C",1,4,"CI20",209,41,16,TRUE,TRUE
"28","14C",1,7,"CI20",195,41,8,TRUE,TRUE
"29","14C",1,10,"CI20",105,41,7,TRUE,TRUE
"30","14C",1,14,"CI20",87,41,5,TRUE,TRUE
"31","14C",1,1,"CI20",450,42,38,TRUE,TRUE
"32","20C",1,1,"CI20",448,42,38,TRUE,TRUE
"33","14C",1,4,"CI20",239,42,16,TRUE,TRUE
"34","14C",1,7,"CI20",181,42,8,TRUE,TRUE
"35","14C",1,10,"CI20",118,42,7,TRUE,TRUE
"36","14C",1,14,"CI20",111,42,5,TRUE,TRUE
"37","14C",1,1,"CI20",612,51,38,TRUE,TRUE
"38","20C",1,1,"CI20",483,51,38,TRUE,TRUE
"39","14C",1,4,"CI20",307,51,16,TRUE,TRUE
"40","14C",1,7,"CI20",132,51,8,TRUE,TRUE
"41","14C",1,10,"CI20",107,51,7,TRUE,TRUE
"42","14C",1,14,"CI20",63,51,5,TRUE,TRUE
"43","14C",1,1,"CI20",798,74,38,TRUE,TRUE
"44","20C",1,1,"CI20",734,74,38,TRUE,TRUE
"45","14C",1,4,"CI20",211,74,16,TRUE,TRUE
"46","14C",1,7,"CI20",178,74,8,TRUE,TRUE
"47","14C",1,10,"CI20",112,74,7,TRUE,TRUE
"48","14C",1,14,"CI20",42,74,5,TRUE,TRUE
"49","14C",1,1,"CI20",741,77,38,TRUE,TRUE
"50","20C",1,1,"CI20",498,77,38,TRUE,TRUE
"51","14C",1,4,"CI20",172,77,16,TRUE,TRUE
"52","14C",1,7,"CI20",161,77,8,TRUE,TRUE
"53","14C",1,10,"CI20",132,77,7,TRUE,TRUE
"54","14C",1,14,"CI20",82,77,5,TRUE,TRUE
"55","14C",1,1,"CI20",784,79,38,TRUE,TRUE
"56","20C",1,1,"CI20",767,79,38,TRUE,TRUE
"57","14C",1,4,"CI20",297,79,16,TRUE,TRUE
"58","14C",1,7,"CI20",160,79,8,TRUE,TRUE
"59","14C",1,10,"CI20",102,79,7,TRUE,TRUE
"60","14C",1,14,"CI20",74,79,5,TRUE,TRUE
"61","14C",1,1,"CI20",784,81,38,TRUE,TRUE
"62","20C",1,1,"CI20",673,81,38,TRUE,TRUE
"63","14C",1,4,"CI20",316,81,16,TRUE,TRUE
"64","14C",1,7,"CI20",138,81,8,TRUE,TRUE
"65","14C",1,10,"CI20",130,81,7,TRUE,TRUE
"66","14C",1,14,"CI20",76,81,5,TRUE,TRUE
"67","14C",1,1,"CI20",638,89,38,TRUE,TRUE
"68","20C",1,1,"CI20",612,89,38,TRUE,TRUE
"69","14C",1,4,"CI20",266,89,16,TRUE,TRUE
"70","14C",1,7,"CI20",150,89,8,TRUE,TRUE
"71","14C",1,10,"CI20",82,89,7,TRUE,TRUE
"72","14C",1,14,"CI20",77,89,5,TRUE,TRUE
"73","14C",1,1,"CI20",870,95,38,TRUE,TRUE
"74","20C",1,1,"CI20",786,95,38,TRUE,TRUE
"75","14C",1,4,"CI20",323,95,16,TRUE,TRUE
"76","14C",1,7,"CI20",155,95,8,TRUE,TRUE
"77","14C",1,10,"CI20",126,95,7,TRUE,TRUE
"78","14C",1,14,"CI20",78,95,5,TRUE,TRUE
"79","14C",1,1,"CI20",726,96,38,TRUE,TRUE
"80","20C",1,1,"CI20",475,96,38,TRUE,TRUE
"81","14C",1,4,"CI20",297,96,16,TRUE,TRUE
"82","14C",1,7,"CI20",273,96,8,TRUE,TRUE
"83","14C",1,10,"CI20",130,96,7,TRUE,TRUE
"84","14C",1,14,"CI20",127,96,5,TRUE,TRUE
"85","14C",1,1,"CI20",708,100,38,TRUE,TRUE
"86","20C",1,1,"CI20",561,100,38,TRUE,TRUE
"87","14C",1,4,"CI20",292,100,16,TRUE,TRUE
"88","14C",1,7,"CI20",180,100,8,TRUE,TRUE
"89","14C",1,10,"CI20",102,100,7,TRUE,TRUE
"90","14C",1,14,"CI20",78,100,5,TRUE,TRUE
"91","14C",1,1,"CI20",552,107,38,TRUE,TRUE
"92","20C",1,1,"CI20",480,107,38,TRUE,TRUE
"93","14C",1,4,"CI20",303,107,16,TRUE,TRUE
"94","14C",1,7,"CI20",157,107,8,TRUE,TRUE
"95","14C",1,10,"CI20",123,107,7,TRUE,TRUE
"96","14C",1,14,"CI20",51,107,5,TRUE,TRUE
"97","14C",1,1,"CI20",717,118,38,TRUE,TRUE
"98","20C",1,1,"CI20",624,118,38,TRUE,TRUE
"99","14C",1,4,"CI20",366,118,16,TRUE,TRUE
"100","14C",1,7,"CI20",151,118,8,TRUE,TRUE
"101","14C",1,10,"CI20",114,118,7,TRUE,TRUE
"102","14C",1,14,"CI20",73,118,5,TRUE,TRUE
"103","14C",1,1,"CI20",743,119,38,TRUE,TRUE
"104","20C",1,1,"CI20",581,119,38,TRUE,TRUE
"105","14C",1,4,"CI20",232,119,16,TRUE,TRUE
"106","14C",1,7,"CI20",149,119,8,TRUE,TRUE
"107","14C",1,10,"CI20",121,119,7,TRUE,TRUE
"108","14C",1,14,"CI20",36,119,5,TRUE,TRUE
"109","14C",1,1,"CI20",858,125,38,TRUE,TRUE
"110","20C",1,1,"CI20",716,125,38,TRUE,TRUE
"111","14C",1,4,"CI20",290,125,16,TRUE,TRUE
"112","14C",1,7,"CI20",140,125,8,TRUE,TRUE
"113","14C",1,10,"CI20",132,125,7,TRUE,TRUE
"114","14C",1,14,"CI20",81,125,5,TRUE,TRUE
"115","14C",1,1,"CI20",683,129,38,TRUE,TRUE
"116","20C",1,1,"CI20",610,129,38,TRUE,TRUE
"117","14C",1,4,"CI20",325,129,16,TRUE,TRUE
"118","14C",1,7,"CI20",191,129,8,TRUE,TRUE
"119","14C",1,10,"CI20",145,129,7,TRUE,TRUE
"120","14C",1,14,"CI20",107,129,5,TRUE,TRUE
"121","14C",1,1,"CI20",736,130,38,TRUE,TRUE
"122","20C",1,1,"CI20",716,130,38,TRUE,TRUE
"123","14C",1,4,"CI20",276,130,16,TRUE,TRUE
"124","14C",1,7,"CI20",193,130,8,TRUE,TRUE
"125","14C",1,10,"CI20",179,130,7,TRUE,TRUE
"126","14C",1,14,"CI20",54,130,5,TRUE,TRUE
"127","14C",1,1,"CI20",740,139,38,TRUE,TRUE
"128","20C",1,1,"CI20",570,139,38,TRUE,TRUE
"129","14C",1,4,"CI20",236,139,16,TRUE,TRUE
"130","14C",1,7,"CI20",199,139,8,TRUE,TRUE
"131","14C",1,10,"CI20",105,139,7,TRUE,TRUE
"132","14C",1,14,"CI20",45,139,5,TRUE,TRUE
"133","14C",1,1,"CI20",758,144,38,TRUE,TRUE
"134","20C",1,1,"CI20",556,144,38,TRUE,TRUE
"135","14C",1,4,"CI20",261,144,16,TRUE,TRUE
"136","14C",1,7,"CI20",142,144,8,TRUE,TRUE
"137","14C",1,10,"CI20",66,144,7,TRUE,TRUE
"138","14C",1,14,"CI20",42,144,5,TRUE,TRUE
"139","14C",1,1,"CI20",646,149,38,TRUE,TRUE
"140","20C",1,1,"CI20",644,149,38,TRUE,TRUE
"141","14C",1,4,"CI20",414,149,16,TRUE,TRUE
"142","14C",1,7,"CI20",155,149,8,TRUE,TRUE
"143","14C",1,10,"CI20",109,149,7,TRUE,TRUE
"144","14C",1,14,"CI20",101,149,5,TRUE,TRUE
"145","14C",1,1,"CI20",729,151,38,TRUE,TRUE
"146","20C",1,1,"CI20",694,151,38,TRUE,TRUE
"147","14C",1,4,"CI20",258,151,16,TRUE,TRUE
"148","14C",1,7,"CI20",212,151,8,TRUE,TRUE
"149","14C",1,10,"CI20",94,151,7,TRUE,TRUE
"150","14C",1,14,"CI20",73,151,5,TRUE,TRUE
"151","14C",1,1,"CI20",728,156,38,TRUE,TRUE
"152","20C",1,1,"CI20",702,156,38,TRUE,TRUE
"153","14C",1,4,"CI20",347,156,16,TRUE,TRUE
"154","14C",1,7,"CI20",170,156,8,TRUE,TRUE
"155","14C",1,10,"CI20",153,156,7,TRUE,TRUE
"156","14C",1,14,"CI20",68,156,5,TRUE,TRUE
"157","14C",1,1,"CI20",809,163,38,TRUE,TRUE
"158","20C",1,1,"CI20",674,163,38,TRUE,TRUE
"159","14C",1,4,"CI20",353,163,16,TRUE,TRUE
"160","14C",1,7,"CI20",142,163,8,TRUE,TRUE
"161","14C",1,10,"CI20",142,163,7,TRUE,TRUE
"162","14C",1,14,"CI20",69,163,5,TRUE,TRUE
"163","14C",1,1,"CI20",674,167,38,TRUE,TRUE
"164","20C",1,1,"CI20",595,167,38,TRUE,TRUE
"165","14C",1,4,"CI20",244,167,16,TRUE,TRUE
"166","14C",1,7,"CI20",119,167,8,TRUE,TRUE
"167","14C",1,10,"CI20",114,167,7,TRUE,TRUE
"168","14C",1,14,"CI20",39,167,5,TRUE,TRUE
"169","14C",1,1,"CI20",617,175,38,TRUE,TRUE
"170","20C",1,1,"CI20",541,175,38,TRUE,TRUE
"171","14C",1,4,"CI20",422,175,16,TRUE,TRUE
"172","14C",1,7,"CI20",140,175,8,TRUE,TRUE
"173","14C",1,10,"CI20",90,175,7,TRUE,TRUE
"174","14C",1,14,"CI20",47,175,5,TRUE,TRUE
"175","14C",1,1,"CI20",695,176,38,TRUE,TRUE
"176","20C",1,1,"CI20",629,176,38,TRUE,TRUE
"177","14C",1,4,"CI20",442,176,16,TRUE,TRUE
"178","14C",1,7,"CI20",156,176,8,TRUE,TRUE
