day,raw_count,sim_count,jar_id,rep_id,treatment,site
1,43,833,31,1,20C,20C
3,37,725,31,1,20C,20C
5,31,723,31,1,20C,20C
7,35,567,31,1,20C,20C
10,46,561,31,1,20C,20C
12,21,305,31,1,20C,20C
14,21,283,31,1,20C,20C
1,43,782,31,2,20C,20C
3,37,735,31,2,20C,20C
5,31,617,31,2,20C,20C
7,35,578,31,2,20C,20C
10,46,577,31,2,20C,20C
12,21,495,31,2,20C,20C
14,21,378,31,2,20C,20C
1,43,745,31,3,20C,20C
3,37,673,31,3,20C,20C
5,31,596,31,3,20C,20C
7,35,580,31,3,20C,20C
10,46,551,31,3,20C,20C
12,21,381,31,3,20C,20C
14,21,353,31,3,20C,20C
1,43,953,31,4,20C,20C
3,37,613,31,4,20C,20C
5,31,603,31,4,20C,20C
7,35,587,31,4,20C,20C
10,46,571,31,4,20C,20C
12,21,387,31,4,20C,20C
14,21,355,31,4,20C,20C
1,43,728,31,5,20C,20C
3,37,706,31,5,20C,20C
5,31,697,31,5,20C,20C
7,35,652,31,5,20C,20C
10,46,568,31,5,20C,20C
12,21,386,31,5,20C,20C
14,21,353,31,5,20C,20C
1,43,788,31,6,20C,20C
3,37,735,31,6,20C,20C
5,31,574,31,6,20C,20C
7,35,535,31,6,20C,20C
10,46,516,31,6,20C,20C
12,21,376,31,6,20C,20C
14,21,372,31,6,20C,20C
1,43,934,31,7,20C,20C
3,37,732,31,7,20C,20C
5,31,668,31,7,20C,20C
7,35,648,31,7,20C,20C
10,46,619,31,7,20C,20C
12,21,370,31,7,20C,20C
14,21,360,31,7,20C,20C
1,43,742,31,8,20C,20C
3,37,695,31,8,20C,20C
5,31,675,31,8,20C,20C
7,35,563,31,8,20C,20C
10,46,491,31,8,20C,20C
12,21,427,31,8,20C,20C
14,21,395,31,8,20C,20C
1,43,784,31,9,20C,20C
3,37,701,31,9,20C,20C
5,31,695,31,9,20C,20C
7,35,572,31,9,20C,20C
10,46,572,31,9,20C,20C
12,21,365,31,9,20C,20C
14,21,267,31,9,20C,20C
1,43,884,31,10,20C,20C
3,37,840,31,10,20C,20C
5,31,651,31,10,20C,20C
7,35,645,31,10,20C,20C
10,46,619,31,10,20C,20C
12,21,400,31,10,20C,20C
14,21,373,31,10,20C,20C
1,43,780,31,11,20C,20C
3,37,636,31,11,20C,20C
5,31,583,31,11,20C,20C
7,35,582,31,11,20C,20C
10,46,552,31,11,20C,20C
12,21,316,31,11,20C,20C
14,21,294,31,11,20C,20C
1,43,721,31,12,20C,20C
3,37,671,31,12,20C,20C
5,31,628,31,12,20C,20C
7,35,593,31,12,20C,20C
10,46,541,31,12,20C,20C
12,21,341,31,12,20C,20C
14,21,319,31,12,20C,20C
1,43,774,31,13,20C,20C
3,37,717,31,13,20C,20C
5,31,624,31,13,20C,20C
7,35,602,31,13,20C,20C
10,46,601,31,13,20C,20C
12,21,461,31,13,20C,20C
14,21,366,31,13,20C,20C
1,43,886,31,14,20C,20C
3,37,766,31,14,20C,20C
5,31,531,31,14,20C,20C
7,35,514,31,14,20C,20C
10,46,448,31,14,20C,20C
12,21,416,31,14,20C,20C
14,21,339,31,14,20C,20C
1,43,811,31,15,20C,20C
3,37,681,31,15,20C,20C
5,31,634,31,15,20C,20C
7,35,612,31,15,20C,20C
10,46,544,31,15,20C,20C
12,21,365,31,15,20C,20C
14,21,285,31,15,20C,20C
1,43,834,31,16,20C,20C
3,37,668,31,16,20C,20C
