day,raw_count,sim_count,jar_id,rep_id,treatment,site
1,43,588,31,1,20C,20C
3,37,566,31,1,20C,20C
5,31,522,31,1,20C,20C
7,35,509,31,1,20C,20C
10,46,503,31,1,20C,20C
12,21,386,31,1,20C,20C
14,21,379,31,1,20C,20C
1,43,816,31,2,20C,20C
3,37,627,31,2,20C,20C
5,31,603,31,2,20C,20C
7,35,570,31,2,20C,20C
10,46,495,31,2,20C,20C
12,21,379,31,2,20C,20C
14,21,302,31,2,20C,20C
1,43,782,31,3,20C,20C
3,37,735,31,3,20C,20C
5,31,645,31,3,20C,20C
7,35,615,31,3,20C,20C
10,46,548,31,3,20C,20C
12,21,361,31,3,20C,20C
14,21,249,31,3,20C,20C
1,43,823,31,4,20C,20C
3,37,723,31,4,20C,20C
5,31,690,31,4,20C,20C
7,35,586,31,4,20C,20C
10,46,570,31,4,20C,20C
12,21,433,31,4,20C,20C
14,21,233,31,4,20C,20C
1,43,761,31,5,20C,20C
3,37,625,31,5,20C,20C
5,31,582,31,5,20C,20C
7,35,562,31,5,20C,20C
10,46,556,31,5,20C,20C
12,21,454,31,5,20C,20C
14,21,284,31,5,20C,20C
1,43,800,31,6,20C,20C
3,37,644,31,6,20C,20C
5,31,535,31,6,20C,20C
7,35,511,31,6,20C,20C
10,46,485,31,6,20C,20C
12,21,386,31,6,20C,20C
14,21,284,31,6,20C,20C
1,43,910,31,7,20C,20C
3,37,680,31,7,20C,20C
5,31,635,31,7,20C,20C
7,35,635,31,7,20C,20C
10,46,631,31,7,20C,20C
12,21,389,31,7,20C,20C
14,21,255,31,7,20C,20C
1,43,642,31,8,20C,20C
3,37,622,31,8,20C,20C
5,31,620,31,8,20C,20C
7,35,606,31,8,20C,20C
10,46,588,31,8,20C,20C
12,21,558,31,8,20C,20C
14,21,357,31,8,20C,20C
1,43,698,31,9,20C,20C
3,37,689,31,9,20C,20C
5,31,611,31,9,20C,20C
7,35,555,31,9,20C,20C
10,46,448,31,9,20C,20C
12,21,438,31,9,20C,20C
14,21,380,31,9,20C,20C
1,43,989,31,10,20C,20C
3,37,773,31,10,20C,20C
5,31,574,31,10,20C,20C
7,35,566,31,10,20C,20C
10,46,565,31,10,20C,20C
12,21,447,31,10,20C,20C
14,21,405,31,10,20C,20C
1,43,741,31,11,20C,20C
3,37,663,31,11,20C,20C
5,31,640,31,11,20C,20C
7,35,638,31,11,20C,20C
10,46,596,31,11,20C,20C
12,21,429,31,11,20C,20C
14,21,405,31,11,20C,20C
1,43,979,31,12,20C,20C
3,37,781,31,12,20C,20C
5,31,529,31,12,20C,20C
7,35,528,31,12,20C,20C
10,46,510,31,12,20C,20C
12,21,408,31,12,20C,20C
14,21,391,31,12,20C,20C
1,43,731,31,13,20C,20C
3,37,701,31,13,20C,20C
5,31,694,31,13,20C,20C
7,35,657,31,13,20C,20C
10,46,602,31,13,20C,20C
12,21,484,31,13,20C,20C
14,21,469,31,13,20C,20C
1,43,764,31,14,20C,20C
3,37,680,31,14,20C,20C
5,31,631,31,14,20C,20C
7,35,621,31,14,20C,20C
10,46,611,31,14,20C,20C
12,21,377,31,14,20C,20C
14,21,329,31,14,20C,20C
1,43,806,31,15,20C,20C
3,37,801,31,15,20C,20C
5,31,719,31,15,20C,20C
7,35,660,31,15,20C,20C
10,46,655,31,15,20C,20C
12,21,492,31,15,20C,20C
14,21,424,31,15,20C,20C
1,43,738,31,16,20C,20C
3,37,719,31,16,20C,20C
5,31,696,31,16,20C,20C
7,35,679,31,16,20C,20C
10,46,674,31,16,20C,20C
12,21,381,31,16,20C,20C
14,21,310,31,16,20C,20C
1,43,788,31,17,20C,20C
3,37,775,31,17,20C,20C
5,31,759,31,17,20C,20C
7,35,742,31,17,20C,20C
10,46,690,31,17,20C,20C
12,21,472,31,17,20C,20C
14,21,344,31,17,20C,20C
1,43,797,31,18,20C,20C
3,37,778,31,18,20C,20C
5,31,697,31,18,20C,20C
7,35,614,31,18,20C,20C
10,46,578,31,18,20C,20C
12,21,383,31,18,20C,20C
14,21,274,31,18,20C,20C
1,43,716,31,19,20C,20C
3,37,696,31,19,20C,20C
5,31,622,31,19,20C,20C
7,35,552,31,19,20C,20C
10,46,526,31,19,20C,20C
12,21,380,31,19,20C,20C
14,21,322,31,19,20C,20C
1,43,812,31,20,20C,20C
3,37,784,31,20,20C,20C
5,31,620,31,20,20C,20C
7,35,612,31,20,20C,20C
10,46,539,31,20,20C,20C
12,21,365,31,20,20C,20C
14,21,355,31,20,20C,20C
1,43,751,31,21,20C,20C
3,37,704,31,21,20C,20C
5,31,688,31,21,20C,20C
7,35,677,31,21,20C,20C
10,46,590,31,21,20C,20C
12,21,423,31,21,20C,20C
14,21,375,31,21,20C,20C
1,43,948,31,22,20C,20C
3,37,645,31,22,20C,20C
5,31,586,31,22,20C,20C
7,35,531,31,22,20C,20C
10,46,470,31,22,20C,20C
12,21,394,31,22,20C,20C
14,21,331,31,22,20C,20C
1,43,785,31,23,20C,20C
3,37,712,31,23,20C,20C
5,31,578,31,23,20C,20C
7,35,507,31,23,20C,20C
10,46,487,31,23,20C,20C
12,21,475,31,23,20C,20C
14,21,315,31,23,20C,20C
1,43,930,31,24,20C,20C
3,37,724,31,24,20C,20C
5,31,595,31,24,20C,20C
7,35,570,31,24,20C,20C
10,46,507,31,24,20C,20C
12,21,431,31,24,20C,20C
14,21,262,31,24,20C,20C
1,43,800,31,25,20C,20C
3,37,696,31,25,20C,20C
5,31,660,31,25,20C,20C
7,35,659,31,25,20C,20C
10,46,606,31,25,20C,20C
12,21,416,31,25,20C,20C
14,21,325,31,25,20C,20C
1,43,711,31,26,20C,20C
3,37,700,31,26,20C,20C
5,31,627,31,26,20C,20C
7,35,560,31,26,20C,20C
10,46,549,31,26,20C,20C
12,21,514,31,26,20C,20C
14,21,337,31,26,20C,20C
1,43,826,31,27,20C,20C
3,37,763,31,27,20C,20C
5,31,636,31,27,20C,20C
7,35,593,31,27,20C,20C
10,46,588,31,27,20C,20C
12,21,454,31,27,20C,20C
14,21,450,31,27,20C,20C
1,43,830,31,28,20C,20C
3,37,767,31,28,20C,20C
5,31,748,31,28,20C,20C
7,35,591,31,28,20C,20C
10,46,573,31,28,20C,20C
12,21,438,31,28,20C,20C
14,21,288,31,28,20C,20C
1,43,926,31,29,20C,20C
3,37,754,31,29,20C,20C
5,31,735,31,29,20C,20C
7,35,721,31,29,20C,20C
10,46,641,31,29,20C,20C
12,21,417,31,29,20C,20C
14,21,318,31,29,20C,20C
1,43,895,31,30,20C,20C
3,37,895,31,30,20C,20C
5,31,661,31,30,20C,20C
7,35,656,31,30,20C,20C
10,46,637,31,30,20C,20C
12,21,504,31,30,20C,20C
14,21,308,31,30,20C,20C
1,43,859,31,31,20C,20C
3,37,640,31,31,20C,20C
5,31,602,31,31,20C,20C
7,35,595,31,31,20C,20C
10,46,592,31,31,20C,20C
12,21,362,31,31,20C,20C
14,21,355,31,31,20C,20C
1,43,947,31,32,20C,20C
3,37,707,31,32,20C,20C
5,31,638,31,32,20C,20C
7,35,606,31,32,20C,20C
10,46,582,31,32,20C,20C
12,21,474,31,32,20C,20C
14,21,369,31,32,20C,20C
1,43,665,31,33,20C,20C
3,37,629,31,33,20C,20C
5,31,611,31,33,20C,20C
7,35,611,31,33,20C,20C
10,46,571,31,33,20C,20C
12,21,367,31,33,20C,20C
14,21,349,31,33,20C,20C
1,43,816,31,34,20C,20C
3,37,734,31,34,20C,20C
5,31,684,31,34,20C,20C
7,35,627,31,34,20C,20C
10,46,570,31,34,20C,20C
12,21,320,31,34,20C,20C
14,21,286,31,34,20C,20C
1,43,823,31,35,20C,20C
3,37,680,31,35,20C,20C
5,31,617,31,35,20C,20C
7,35,563,31,35,20C,20C
10,46,542,31,35,20C,20C
12,21,476,31,35,20C,20C
14,21,435,31,35,20C,20C
1,43,798,31,36,20C,20C
3,37,646,31,36,20C,20C
5,31,642,31,36,20C,20C
7,35,626,31,36,20C,20C
10,46,598,31,36,20C,20C
12,21,340,31,36,20C,20C
14,21,328,31,36,20C,20C
1,43,723,31,37,20C,20C
3,37,713,31,37,20C,20C
5,31,532,31,37,20C,20C
7,35,531,31,37,20C,20C
10,46,475,31,37,20C,20C
12,21,426,31,37,20C,20C
14,21,348,31,37,20C,20C
1,43,682,31,38,20C,20C
3,37,644,31,38,20C,20C
5,31,613,31,38,20C,20C
7,35,606,31,38,20C,20C
10,46,536,31,38,20C,20C
12,21,418,31,38,20C,20C
14,21,186,31,38,20C,20C
1,43,809,31,39,20C,20C
3,37,664,31,39,20C,20C
5,31,590,31,39,20C,20C
7,35,570,31,39,20C,20C
10,46,568,31,39,20C,20C
12,21,405,31,39,20C,20C
14,21,368,31,39,20C,20C
1,43,838,31,40,20C,20C
3,37,656,31,40,20C,20C
5,31,618,31,40,20C,20C
7,35,599,31,40,20C,20C
10,46,497,31,40,20C,20C
12,21,384,31,40,20C,20C
14,21,277,31,40,20C,20C
1,43,858,31,41,20C,20C
3,37,681,31,41,20C,20C
5,31,629,31,41,20C,20C
7,35,629,31,41,20C,20C
10,46,517,31,41,20C,20C
12,21,418,31,41,20C,20C
14,21,335,31,41,20C,20C
1,43,707,31,42,20C,20C
3,37,671,31,42,20C,20C
5,31,658,31,42,20C,20C
7,35,639,31,42,20C,20C
10,46,596,31,42,20C,20C
12,21,412,31,42,20C,20C
14,21,407,31,42,20C,20C
1,43,811,31,43,20C,20C
3,37,734,31,43,20C,20C
5,31,689,31,43,20C,20C
7,35,649,31,43,20C,20C
10,46,643,31,43,20C,20C
12,21,465,31,43,20C,20C
14,21,293,31,43,20C,20C
1,43,718,31,44,20C,20C
3,37,708,31,44,20C,20C
5,31,668,31,44,20C,20C
7,35,649,31,44,20C,20C
10,46,618,31,44,20C,20C
12,21,368,31,44,20C,20C
14,21,326,31,44,20C,20C
1,43,875,31,45,20C,20C
3,37,734,31,45,20C,20C
5,31,594,31,45,20C,20C
7,35,549,31,45,20C,20C
10,46,530,31,45,20C,20C
12,21,352,31,45,20C,20C
14,21,338,31,45,20C,20C
1,43,812,31,46,20C,20C
3,37,758,31,46,20C,20C
5,31,663,31,46,20C,20C
7,35,637,31,46,20C,20C
10,46,610,31,46,20C,20C
12,21,399,31,46,20C,20C
14,21,288,31,46,20C,20C
1,43,933,31,47,20C,20C
3,37,719,31,47,20C,20C
5,31,717,31,47,20C,20C
7,35,651,31,47,20C,20C
10,46,588,31,47,20C,20C
12,21,386,31,47,20C,20C
14,21,332,31,47,20C,20C
1,43,805,31,48,20C,20C
3,37,627,31,48,20C,20C
5,31,626,31,48,20C,20C
7,35,537,31,48,20C,20C
10,46,533,31,48,20C,20C
12,21,428,31,48,20C,20C
14,21,374,31,48,20C,20C
1,43,900,31,49,20C,20C
3,37,775,31,49,20C,20C
5,31,661,31,49,20C,20C
7,35,624,31,49,20C,20C
10,46,620,31,49,20C,20C
12,21,377,31,49,20C,20C
14,21,341,31,49,20C,20C
1,43,781,31,50,20C,20C
3,37,762,31,50,20C,20C
5,31,642,31,50,20C,20C
7,35,600,31,50,20C,20C
10,46,570,31,50,20C,20C
12,21,433,31,50,20C,20C
14,21,405,31,50,20C,20C
1,43,952,31,51,20C,20C
